,title,location1,location2,location3,area,orientation,room_type,price
5622,整租·兰州市邮政局家属院（嘉峪关南路东区） 2室1厅 南,城关区,二热,兰州市邮政局家属院（嘉峪关南路东区）,60.00㎡,南,2室1厅1卫,2000
5623,整租·天庆花园 2室2厅 南/北,城关区,雁滩高新区,天庆花园,94.00㎡,南 北,2室2厅1卫,2000
5624,整租·省五金交化家属院 2室2厅 南/北,城关区,万达大润发,省五金交化家属院,90.00㎡,南 北,2室2厅1卫,2400
5625,整租·药研所家属院 2室1厅 东南,城关区,段家滩,药研所家属院,95.00㎡,东南,2室1厅1卫,2300
5626,整租·渔业家园 2室2厅 南/北,城关区,段家滩,渔业家园,108.00㎡,南 北,2室2厅1卫,2200
5627,整租·金石巷小区 2室2厅 南,城关区,西关南关,金石巷小区,70.00㎡,南,2室2厅1卫,2000
5628,整租·滩尖子村家属院 2室2厅 南/北,城关区,万达大润发,滩尖子村家属院,105.00㎡,南 北,2室2厅1卫,2000
5629,整租·省计划委员会家属院 2室1厅 南/北,城关区,东方红广场,省计划委员会家属院,50.00㎡,南 北,2室1厅1卫,2000
5630,整租·怡景新苑 2室2厅 东南/南,城关区,黄河北,怡景新苑,103.00㎡,东南 南,2室2厅1卫,2200
5631,整租·康平园小区 2室1厅 东/南/北,城关区,五泉广场,康平园小区,75.00㎡,东 南 北,2室1厅1卫,2000
5632,整租·国资委第三十五佳园 2室2厅 东南,城关区,大沙坪,国资委第三十五佳园,94.00㎡,东南,2室2厅1卫,2300
5633,整租·东安家园 2室2厅 东/西,城关区,火车站,东安家园,98.60㎡,东 西,2室2厅1卫,2400
5634,整租·星达小区 2室2厅 南/北,城关区,万达大润发,星达小区,100.00㎡,南 北,2室2厅1卫,2000
5635,整租·元森北新时代（石榴园） 2室2厅 南,城关区,黄河北,元森北新时代（石榴园）,71.00㎡,南,2室2厅1卫,2500
5636,整租·铁一院云祥小区 2室2厅 东/北,城关区,五泉广场,铁一院云祥小区,75.46㎡,东 北,2室2厅1卫,2200
5637,整租·天庆•格林小镇东区 2室2厅 南/北,城关区,北面滩,天庆•格林小镇东区,100.00㎡,南 北,2室2厅1卫,2400
5638,整租·华润家园 2室2厅 东,城关区,火车站,华润家园,90.33㎡,东,2室2厅1卫,2050
5639,整租·街道文化站小区（盐场路） 2室1厅 东南,城关区,大沙坪,街道文化站小区（盐场路）,87.00㎡,东南,2室1厅1卫,2400
5640,整租·佳新商住楼 2室2厅 南/北,城关区,万达大润发,佳新商住楼,100.00㎡,南 北,2室2厅2卫,2300
5641,整租·海鸿国际 2室1厅 南,城关区,北面滩,海鸿国际,88.00㎡,南,2室1厅1卫,2300
5642,整租·旺盛大厦 2室2厅 东北,城关区,兰大盘旋路,旺盛大厦,122.19㎡,东北,2室2厅1卫,2500
5643,整租·希望花园 2室1厅 南,城关区,黄河北,希望花园,80.00㎡,南,2室1厅1卫,2000
5644,整租·基业豪庭 2室1厅 南,城关区,雁滩高新区,基业豪庭,77.00㎡,南,2室1厅1卫,2500
5645,整租·甘肃日报社家属院 2室2厅 南,城关区,五泉广场,甘肃日报社家属院,85.00㎡,南,2室2厅1卫,2100
5646,整租·祥和苑 2室1厅 南/北,城关区,五泉广场,祥和苑,93.00㎡,南 北,2室1厅1卫,2000
5647,整租·怡景新苑 2室2厅 东/南,城关区,黄河北,怡景新苑,90.00㎡,东 南,2室2厅1卫,2300
5648,整租·东湖小区 2室2厅 东/西,城关区,段家滩,东湖小区,87.85㎡,东 西,2室2厅1卫,2200
5649,整租·基业豪庭 2室2厅 南/西,城关区,雁滩高新区,基业豪庭,106.00㎡,南 西,2室2厅1卫,2200
5650,整租·华城苑小区（南区） 2室2厅 南/北,城关区,东部,华城苑小区（南区）,107.00㎡,南 北,2室2厅1卫,2300
5651,整租·翡翠居 2室2厅 南/北,城关区,大沙坪,翡翠居,98.00㎡,南 北,2室2厅1卫,2100
5652,整租·金都大厦 2室2厅 东/西,城关区,东方红广场,金都大厦,131.00㎡,东 西,2室2厅1卫,2400
5653,整租·小沟头小区 2室2厅 南/北,城关区,西关南关,小沟头小区,110.00㎡,南 北,2室2厅1卫,2300
5654,整租·融園 2室2厅 南/北,城关区,雁滩高新区,融園,107.00㎡,南 北,2室2厅1卫,2000
5655,整租·元森北新时代（石榴园） 2室1厅 北,城关区,黄河北,元森北新时代（石榴园）,71.00㎡,北,2室1厅1卫,2000
5656,整租·华亮大厦 2室1厅 南,城关区,雁滩高新区,华亮大厦,75.00㎡,南,2室1厅1卫,2200
5657,整租·穆柯寨小区 2室2厅 南/北,城关区,黄河北,穆柯寨小区,85.00㎡,南 北,2室2厅1卫,2000
5658,整租·基业豪庭 2室2厅 南/北,城关区,雁滩高新区,基业豪庭,105.00㎡,南 北,2室2厅1卫,2200
5659,整租·新港城 2室2厅 南/北,城关区,北面滩,新港城,88.00㎡,南 北,2室2厅1卫,2400
5660,整租·金地花园 2室2厅 南/北,城关区,万达大润发,金地花园,100.00㎡,南 北,2室2厅1卫,2500
5661,整租·海鸿国际 2室1厅 北,城关区,北面滩,海鸿国际,70.00㎡,北,2室1厅1卫,2200
5662,整租·康乐花园 2室2厅 东/南,城关区,雁滩高新区,康乐花园,96.00㎡,东 南,2室2厅1卫,2500
5663,整租·雁滩安居小区 2室1厅 南/北,城关区,万达大润发,雁滩安居小区,82.00㎡,南 北,2室1厅1卫,2200
5664,整租·兰州市科委家属院 2室1厅 东/西,城关区,西关南关,兰州市科委家属院,55.48㎡,东 西,2室1厅1卫,2000
5665,整租·金雁花园 2室2厅 南/北,城关区,万达大润发,金雁花园,91.00㎡,南 北,2室2厅1卫,2200
5666,整租·鑫亿城 2室1厅 西,城关区,万达大润发,鑫亿城,55.00㎡,西,2室1厅1卫,2400
5667,整租·天庆莱茵小镇 2室2厅 南,城关区,北面滩,天庆莱茵小镇,92.00㎡,南,2室2厅1卫,2500
5668,整租·绿莹花园 2室1厅 西北,城关区,大沙坪,绿莹花园,95.10㎡,西北,2室1厅1卫,2200
5669,整租·甘报社住宅小区 2室1厅 东/西,城关区,五泉广场,甘报社住宅小区,72.00㎡,东 西,2室1厅1卫,2000
5670,整租·中广·千隆家园 2室1厅 南,城关区,五泉广场,中广·千隆家园,110.00㎡,南,2室1厅1卫,2500
5671,整租·城关区政府雁滩住宅小区 2室1厅 南/北,城关区,万达大润发,城关区政府雁滩住宅小区,75.00㎡,南 北,2室1厅1卫,2000
5672,整租·传输局家属院（金塔巷） 2室1厅 东/西,城关区,西关南关,传输局家属院（金塔巷）,80.00㎡,东 西,2室1厅1卫,2000
5673,整租·红山雅轩 2室2厅 南,城关区,火车站,红山雅轩,89.00㎡,南,2室2厅1卫,2000
5674,整租·恒大绿洲 2室1厅 复式 南/北,城关区,大沙坪,恒大绿洲,100.00㎡,南 北,2室1厅1卫,2000
5675,整租·八一阳光家园（东区） 2室2厅 南/北,城关区,东部,八一阳光家园（东区）,120.00㎡,南 北,2室2厅1卫,2400
